timestamps,TP9,AF7,AF8,TP10,Right AUX
1718676265.811,0.000,6.836,-625.000,33.203,0.000
1718676265.815,0.000,47.852,-73.730,111.816,0.000
1718676265.819,0.000,15.137,-229.004,110.352,0.000
1718676265.823,0.000,14.648,-431.152,24.414,0.000
1718676265.827,0.000,0.977,-618.652,-21.973,0.000
1718676265.831,0.000,-10.742,-705.566,18.066,0.000
1718676265.833,-11.719,33.203,-176.758,93.262,0.000
1718676265.837,28.809,61.035,216.797,88.379,0.000
1718676265.841,61.035,25.879,-103.027,16.602,0.000
1718676265.844,41.504,-22.949,-645.996,-48.828,0.000
1718676265.848,9.766,3.906,-588.867,-8.301,0.000
1718676265.852,7.812,47.852,-122.070,91.797,0.000
1718676265.856,28.809,58.594,198.730,95.703,0.000
1718676265.860,47.363,11.230,-113.770,38.574,0.000
1718676265.864,44.922,-38.086,-689.941,-27.344,0.000
1718676265.868,5.859,0.977,-630.859,-3.906,0.000
1718676265.872,-17.578,56.641,-104.492,86.914,0.000
1718676265.876,20.020,62.012,211.914,103.516,0.000
1718676265.877,60.547,43.945,0.000,32.715,0.000
1718676265.881,47.363,3.906,0.000,-42.969,0.000
1718676265.885,7.324,-12.207,0.000,-22.949,0.000
1718676265.889,-15.137,22.461,0.000,58.105,0.000
1718676265.893,13.672,63.477,0.000,89.355,0.000
1718676265.897,54.199,29.785,0.000,42.969,0.000
1718676265.901,56.641,-38.574,0.000,-25.879,0.000
1718676265.905,22.461,-58.594,0.000,-23.926,0.000
1718676265.909,-6.348,24.902,0.000,35.645,0.000
1718676265.913,-0.488,64.453,0.000,78.125,0.000
1718676265.916,38.574,24.902,0.000,50.293,0.000
1718676265.920,48.340,-11.230,0.000,-35.156,0.000
1718676265.924,-14.648,-19.531,-460.938,-56.152,0.000
1718676265.928,15.137,15.137,-140.137,26.367,0.000
1718676265.932,40.039,31.250,257.812,91.309,0.000
1718676265.936,22.461,27.344,272.461,49.805,0.000
1718676265.940,-25.391,-8.789,-123.047,-29.297,0.000
1718676265.944,-30.762,-45.410,-544.922,-46.387,0.000
1718676265.948,8.789,-31.250,-461.914,18.555,0.000
1718676265.952,38.574,30.762,108.398,85.449,0.000
1718676265.956,19.531,45.898,360.840,58.594,0.000
1718676265.960,-18.066,-32.715,-171.875,-22.461,0.000
1718676265.963,-32.227,-64.453,-602.051,-69.824,0.000
1718676265.967,10.254,-19.043,-312.500,-19.531,0.000
1718676265.971,41.992,20.020,216.797,53.223,0.000
1718676265.975,3.418,10.742,307.617,26.367,0.000
1718676265.979,-50.781,-41.016,-127.930,-56.641,0.000
1718676265.983,-66.406,-74.707,-469.238,-99.609,0.000
1718676265.987,-47.363,-52.246,-282.227,-46.875,0.000
1718676265.991,-38.086,-40.527,94.727,27.344,0.000
1718676265.995,-33.203,-73.242,50.293,44.922,0.000
1718676265.999,-61.035,-60.547,32.227,-39.551,0.000
1718676266.003,-82.520,-63.477,-335.449,-98.145,0.000
1718676266.007,-50.781,-67.383,-468.750,-40.527,0.000
1718676266.010,-13.672,-20.508,87.402,34.180,0.000
1718676266.014,-5.371,-2.930,393.066,41.016,0.000
1718676266.018,-31.738,-43.457,169.434,-25.391,0.000
1718676266.022,-47.852,-88.867,-387.695,-74.707,0.000
1718676266.026,-24.414,-78.125,-454.102,-47.852,0.000
1718676266.030,15.625,-29.297,-4.883,30.762,0.000
1718676266.034,13.184,1.465,364.258,59.082,0.000
1718676266.038,-15.137,-57.617,101.562,14.160,0.000
1718676266.042,-43.945,-94.238,-432.129,-54.199,0.000
1718676266.045,-46.387,-55.176,-387.695,-55.664,0.000
1718676266.049,-12.695,-36.133,0.000,20.020,0.000
1718676266.053,7.324,-30.762,232.422,60.059,0.000
1718676266.057,-25.391,-26.367,238.281,13.184,0.000
1718676266.061,-52.734,-60.059,-223.145,-58.594,0.000
1718676266.066,-42.480,-79.590,-495.605,-54.199,0.000
1718676266.070,1.465,-46.875,-179.199,15.137,0.000
1718676266.073,19.531,2.441,302.734,52.246,0.000
1718676266.077,-21.973,-6.836,292.480,3.418,0.000
1718676266.081,-51.758,-64.941,-257.812,-70.801,0.000
1718676266.085,-28.809,-92.773,-596.680,-68.359,0.000
1718676266.089,3.906,-46.387,-317.383,-4.883,0.000
1718676266.093,20.020,3.906,204.102,49.805,0.000
1718676266.097,-7.324,-7.812,230.469,24.414,0.000
1718676266.101,-53.711,-56.641,-262.207,-53.711,0.000
1718676266.105,-51.270,-56.152,-468.750,-74.707,0.000
1718676266.109,-8.301,-19.531,-190.918,-15.137,0.000
1718676266.113,26.855,-1.465,225.586,54.199,0.000
1718676266.117,5.371,-6.836,258.789,45.410,0.000
1718676266.121,-41.504,-30.762,-104.492,-41.992,0.000
1718676266.125,-46.387,-59.570,-467.773,-85.449,0.000
1718676266.129,-12.695,-45.898,-411.621,-25.391,0.000
1718676266.133,22.949,-12.207,40.527,51.270,0.000
1718676266.136,10.742,1.953,235.352,41.504,0.000
1718676266.140,-20.996,-23.926,-57.617,-37.598,0.000
1718676266.144,-33.203,-95.703,-692.383,-80.566,0.000
1718676266.148,-4.395,-84.473,-619.141,-32.227,0.000
1718676266.152,27.344,20.996,186.523,35.156,0.000
1718676266.156,8.301,17.578,307.129,39.551,0.000
1718676266.160,0.000,-46.387,-208.984,-14.160,0.000
1718676266.164,0.000,-61.035,-522.949,-60.547,0.000
1718676266.168,0.000,-43.457,-380.371,-35.645,0.000
1718676266.172,0.000,-10.742,59.082,37.109,0.000
1718676266.176,0.000,-3.906,197.754,45.410,0.000
1718676266.180,0.000,-39.062,-109.375,-4.883,0.000
1718676266.184,0.000,-75.195,-548.340,-63.965,0.000
1718676266.188,0.000,-55.176,-559.570,-43.945,0.000
1718676266.192,0.000,-16.113,-128.418,24.414,0.000
1718676266.196,0.000,12.695,265.137,52.734,0.000
1718676266.199,0.000,-14.160,95.215,1.953,0.000
1718676266.203,0.000,-77.148,-540.527,-80.566,0.000
1718676266.207,-37.109,-65.918,-609.863,-67.383,0.000
1718676266.211,12.695,-10.254,-89.844,6.348,0.000
1718676266.215,-13.672,6.836,263.184,29.297,0.000
1718676266.219,-45.410,-27.832,47.363,-14.648,0.000
1718676266.223,-55.664,-70.312,-473.633,-81.055,0.000
1718676266.227,-44.922,-67.871,-641.602,-79.590,0.000
1718676266.231,-1.465,-18.066,-198.730,-18.066,0.000
1718676266.235,24.414,2.930,150.391,25.879,0.000
1718676266.239,-15.137,-19.043,-42.480,-4.883,0.000
1718676266.243,-67.383,-43.945,-413.574,-82.031,0.000
1718676266.247,-66.406,-51.270,-569.336,-83.496,0.000
1718676266.250,-34.180,-20.020,-375.488,-8.301,0.000
1718676266.255,-11.719,24.414,178.223,42.480,0.000
1718676266.259,-25.391,10.742,219.727,3.906,0.000
1718676266.263,-50.781,-52.246,-420.410,-73.730,0.000
1718676266.267,-44.922,-62.988,-622.070,-88.379,0.000
1718676266.271,-20.020,-14.648,-251.953,-26.855,0.000
1718676266.275,2.441,17.578,161.133,30.762,0.000
1718676266.279,-13.184,-4.395,134.766,14.160,0.000
1718676266.283,-51.758,-42.480,-292.969,-60.547,0.000
1718676266.287,-56.152,-40.527,-517.578,-94.727,0.000
1718676266.290,-24.902,-15.625,-296.875,-46.387,0.000
1718676266.294,17.090,8.301,137.695,24.414,0.000
1718676266.298,0.000,6.348,247.559,5.371,0.000
1718676266.302,-51.758,-25.391,-104.004,0.000,0.000
1718676266.306,-53.711,-56.152,-539.062,0.000,0.000
1718676266.310,-20.508,-46.387,-490.234,0.000,0.000
1718676266.314,15.137,5.371,35.645,0.000,0.000
1718676266.318,2.441,18.066,203.125,0.000,0.000
1718676266.322,-59.570,-41.504,-219.727,0.000,0.000
1718676266.326,-72.754,-82.031,-676.270,0.000,0.000
1718676266.330,-38.574,-45.898,-492.676,0.000,0.000
1718676266.333,-8.789,4.395,84.961,0.000,0.000
1718676266.337,-10.254,-5.859,161.621,0.000,0.000
1718676266.341,-42.480,-51.758,-308.105,0.000,0.000
1718676266.345,-69.336,-60.059,-615.723,0.000,0.000
1718676266.349,-46.387,-25.391,-429.199,-75.684,0.000
1718676266.353,-2.930,-0.488,-34.180,7.812,0.000
1718676266.357,7.812,-22.461,2.930,37.598,0.000
1718676266.361,-41.504,-22.461,12.207,-33.203,0.000
1718676266.365,-67.383,-33.691,-366.699,-109.375,0.000
1718676266.368,-29.785,-59.570,-676.270,-77.637,0.000
1718676266.372,15.137,-47.852,-471.191,12.695,0.000
1718676266.376,13.184,14.648,94.727,34.180,0.000
1718676266.380,-31.250,12.207,179.199,-27.344,0.000
1718676266.384,-55.664,-54.688,-492.188,-88.379,0.000
1718676266.388,-23.438,-51.270,-644.531,-76.660,0.000
1718676266.392,21.973,11.719,-142.578,-4.883,0.000
1718676266.396,4.395,39.551,274.902,17.578,0.000
1718676266.400,-45.410,-2.930,108.398,-19.531,0.000
1718676266.404,-84.473,-53.223,-454.590,-88.379,0.000
1718676266.408,-81.543,-44.922,-643.555,-111.816,0.000
1718676266.412,-44.434,1.465,-230.957,-39.551,0.000
1718676266.416,-19.531,8.789,118.652,30.762,0.000
1718676266.420,-33.203,-2.930,60.059,-4.395,0.000
1718676266.424,-68.848,-21.973,-333.008,-96.191,0.000
1718676266.428,-70.312,-51.270,-662.598,-100.098,0.000
1718676266.432,-22.949,-43.945,-520.996,-20.508,0.000
1718676266.435,15.625,15.137,86.914,50.781,0.000
